"Plot","Tag","Taxon","X..cm.","Y..cm.","Tag.offset.x..cm.","Tag.offset.y..cm.","Is.seedling","Number.of.individuals.represented.by.tag","Notes","Tag.removed.in.year"
41,"1668","Lupinus argenteus",3,101,-10,-10,0,1,NA,NA
41,"1670","Lupinus argenteus",5,114,-10,-10,0,1,NA,NA
41,"1335","Lupinus argenteus",58,147,-10,-10,0,1,NA,NA
41,"1336","Lupinus argenteus",66,144,-10,-10,0,1,NA,NA
41,"1351","Lupinus argenteus",73,125,-10,-10,0,1,NA,NA
41,"1355","Lupinus argenteus",147,136,-10,-10,0,1,NA,NA
41,"1356","Eriogonum umbellatum",139,136,-10,-10,0,1,NA,NA
41,"1370","Lupinus argenteus",114,106,-10,-10,0,1,NA,NA
41,"1371","Lupinus argenteus",113,109,-10,-10,0,1,NA,NA
41,"1377","Lupinus argenteus",123,119,-10,-10,0,1,NA,NA
41,"840","Lupinus argenteus",140,110,-10,-10,0,1,NA,NA
41,"842","Lupinus argenteus",155,125,-10,-10,0,1,NA,NA
41,"1351A","Lupinus argenteus",107,192,-10,-10,0,1,NA,NA
41,"1363","Lupinus argenteus",126,165,-10,-10,0,1,NA,NA
41,"1378","Lupinus argenteus",127,154,-10,-10,0,1,"tag lost",NA
41,"1673","Phacelia hastata",105,199,-10,-10,0,1,NA,NA
41,"846","Lupinus argenteus",120,160,-10,-10,0,1,NA,NA
41,"1358","Lupinus argenteus",195,168,-10,-10,0,1,NA,NA
42,"1379","Lupinus argenteus",21,15,-10,-10,0,1,NA,NA
42,"1384","Lupinus argenteus",28,42,-10,-10,0,1,NA,NA
42,"863","Eriogonum umbellatum",0,40,0,-10,0,1,NA,NA
42,"1404","Lupinus argenteus",140,41,-10,-10,0,1,NA,NA
42,"1381","Lupinus argenteus",29,58,-10,-10,0,1,NA,NA
42,"1406","Lupinus argenteus",123,85,-10,-10,0,1,NA,NA
42,"869","Lupinus argenteus",20,190,-5,-5,0,1,NA,NA
42,"870","Lupinus argenteus",15,200,-10,-10,0,1,NA,NA
42,"871","Lupinus argenteus",10,180,-10,-10,0,1,NA,NA
42,"1401","Lupinus argenteus",84,167,-10,-10,0,1,NA,NA
42,"868","Lupinus argenteus",180,170,-10,-10,0,1,NA,NA
45,"873","Heterotheca villosa",1,2,0,-10,0,1,NA,NA
45,"875","Heterotheca villosa",90,70,-10,-10,0,1,NA,NA
46,"1445","Eriogonum umbellatum",46,17,-10,-10,0,1,NA,NA
46,"1681","Senecio crassulus",43,25,-10,-10,0,1,NA,NA
46,"1683","Heterotheca villosa",50,26,-10,-10,0,1,NA,NA
46,"1694","Eriogonum umbellatum",30,50,-10,-10,0,1,NA,NA
46,"880","Heterotheca villosa",25,15,2,-6,0,1,NA,NA
46,"884","Lupinus argenteus",37,10,10,0,0,1,NA,NA
46,"891","Heterotheca villosa",43,32,-5,-5,0,1,NA,NA
46,"1447","Senecio crassulus",56,33,-10,-10,0,1,NA,NA
46,"1448","Senecio crassulus",63,34,-10,-10,0,1,NA,NA
46,"1451","Lupinus argenteus",83,13,-10,-10,0,1,NA,NA
46,"1472","Heterotheca villosa",78,49,-10,-10,0,1,NA,NA
46,"887","Eriogonum umbellatum",56,11,0,-5,0,1,NA,NA
46,"889","Heterotheca villosa",55,24,0,-5,0,1,NA,NA
46,"905","Lupinus argenteus",87,40,-10,-10,0,1,NA,NA
46,"907","Lupinus argenteus",81,15,-10,-10,0,1,NA,NA
46,"908","Lupinus argenteus",82,13,-10,-10,0,1,NA,NA
46,"909","Lupinus argenteus",83,13,-10,-10,0,1,NA,NA
46,"910","Lupinus argenteus",92,1,0,5,0,1,NA,NA
46,"1458","Heterotheca villosa",111,10,-10,-10,0,1,NA,NA
46,"1469","Lupinus argenteus",102,49,-10,-10,0,1,NA,NA
46,"1474","Lupinus argenteus",103,0,-10,-10,0,1,NA,NA
46,"1486","Lupinus argenteus",165,18,-10,-10,0,1,NA,NA
46,"1493","Ivesia gordonii",177,23,-10,-10,0,1,NA,NA
46,"1494","Ivesia gordonii",166,23,-10,-10,0,1,NA,NA
46,"1498","Ivesia gordonii",186,15,-10,-10,0,1,NA,NA
46,"950","Carex siccata",172,45,0,-5,0,1,NA,NA
46,"958","Heterotheca villosa",185,30,-10,-10,0,1,NA,NA
46,"901","Lupinus argenteus",65,51,-10,-10,0,1,NA,NA
46,"1501","Lupinus argenteus",140,77,-10,-10,0,1,NA,NA
46,"1514","Phacelia hastata",120,91,-10,-10,0,1,"tag missing",NA
46,"1713","Senecio crassulus",114,95,-10,-10,0,1,NA,NA
46,"927","Heterotheca villosa",125,62,10,0,0,1,NA,NA
46,"931","Heterotheca villosa",115,87,10,0,0,1,NA,NA
46,"1508","Chaenactis douglasii",180,100,-10,-10,0,1,NA,NA
46,"1690","Carex siccata",36,127,0,10,0,1,NA,NA
46,"1517","Lupinus argenteus",60,125,-10,-10,0,1,NA,NA
46,"1526","Eriogonum umbellatum",115,135,-10,-10,0,1,NA,NA
46,"1716","Phacelia hastata",140,102,-10,-10,0,1,NA,NA
46,"968","Eriogonum umbellatum",140,110,-10,-10,0,1,NA,NA
46,"969","Eriogonum umbellatum",138,112,-10,-10,0,1,NA,NA
46,"970","Viola praemorsa",140,115,-10,-10,0,1,NA,NA
46,"973","Carex siccata",135,125,-10,-10,0,1,NA,NA
46,"977","Carex siccata",135,132,-10,-10,0,1,NA,NA
46,"978","Eriogonum umbellatum",145,120,10,0,0,1,NA,NA
46,"1509","Phacelia hastata",170,110,-10,-10,0,1,NA,NA
46,"1528","Viola praemorsa",181,110,-10,-10,0,1,NA,NA
46,"1721","Heterotheca villosa",195,104,-10,-10,0,1,NA,NA
46,"1729","Viola praemorsa",185,142,-10,-10,0,1,NA,NA
46,"980","Eriogonum umbellatum",190,125,-10,-10,0,1,NA,NA
46,"983","Carex siccata",195,150,-10,0,0,1,NA,NA
46,"987","Heterotheca villosa",180,141,-5,0,0,1,NA,NA
46,"1518","Lupinus argenteus",37,165,-10,-10,0,1,NA,NA
46,"1535","Lupinus argenteus",15,190,-10,-10,0,1,"tag missing",NA
46,"1519","Lupinus argenteus",52,186,-10,-10,0,1,NA,NA
46,"1523","Lupinus argenteus",91,175,-10,-10,0,1,NA,NA
46,"1524","Lupinus argenteus",116,160,-10,-10,0,1,NA,NA
46,"1000","Agoseris glauca",170,155,-10,-10,0,1,NA,NA
46,"1720","Heterotheca villosa",200,158,-10,-10,0,1,NA,NA
46,"1739","Senecio crassulus",173,166,-5,-5,0,1,NA,NA
46,"995","Senecio crassulus",190,175,-10,-10,0,1,NA,NA
47,"1023","Lupinus argenteus",95,55,-10,-10,0,1,NA,NA
47,"1434","Lupinus argenteus",102,98,-10,-10,0,1,NA,NA
47,"1416","Lupinus argenteus",13,147,-10,-10,0,1,NA,NA
47,"1426","Lupinus argenteus",150,148,-10,-10,0,1,NA,NA
47,"1431","Lupinus argenteus",171,132,-10,-10,0,1,NA,NA
47,"1417","Lupinus argenteus",29,171,-10,-10,0,1,NA,NA
47,"1418","Lupinus argenteus",34,175,-10,-10,0,1,NA,NA
47,"1421","Lupinus argenteus",72,171,-10,-10,0,1,NA,NA
49,"1028","Lupinus argenteus",95,5,-10,-10,0,1,NA,NA
49,"1030","Lupinus argenteus",160,35,-10,-10,0,1,NA,NA
49,"1025","Lupinus argenteus",45,90,-10,-10,0,1,NA,NA
49,"1026","Lupinus argenteus",50,95,-10,-10,0,1,NA,NA
49,"1678","Lupinus argenteus",32,85,-10,-10,0,1,NA,NA
49,"1679","Eriogonum umbellatum",32,90,-10,-10,0,1,NA,NA
49,"1027","Lupinus argenteus",80,85,-10,-10,0,1,NA,NA
49,"1024","Lupinus argenteus",35,108,-10,-10,0,1,NA,NA
49,"1029","Lupinus argenteus",0,108,0,10,0,1,NA,NA
49,"1437","Agoseris glauca",59,186,-10,-10,0,1,"cocoon",NA
49,"1438","Agoseris glauca",59,187,-10,-10,0,1,NA,NA
50,"1036","Heterotheca villosa",21,2,0,10,0,1,NA,NA
50,"1044","Ivesia gordonii",100,8,0,10,0,1,NA,NA
50,"1045","Ivesia gordonii",110,5,0,10,0,1,NA,NA
