"Taxon","Tag","Year","Note","num_clumps_string","num_clumps_numeric"
"Lupinus argenteus","107",2014,"Has two stems","",NA
"Lupinus argenteus","253",2014,"might be another stem of 252. was labeled 243 in 2014. position moved in 2015","",NA
"Elymus lanceolatus","279",2014,"2 stems","",NA
"Lupinus argenteus","381",2014,"2 stems","",NA
"Elymus lanceolatus","484",2014,"3 stems","",NA
"Senecio crassulus","501",2014,"multistems","",NA
"Elymus lanceolatus","555",2014,"multistem","",NA
"Elymus lanceolatus","558",2014,"multistem","",NA
"Arnica latifolia","565",2014,"Asteraceae with opposite leaves, that are curved around stem (no petiole). Small sun flowers with small phyllaries.","",NA
"Arnica latifolia","781",2014,"two stems","",NA
"Carex siccata","1010",2014,"3 stems","",NA
"Agoseris glauca","988",2014,"3 stems","",NA
"Lupinus argenteus","1295",2014,"2 stems, not new","",NA
"Ivesia gordonii","1065",2015,"3 stems","",NA
"Lupinus argenteus","109",2015,"2 stems; X pos was originally entered as 80, corrected value based on the 2014 datasheet. CR 2/20/21; CR 3/23/21 corrected height from 4 to 4.5 based on the 2015 field sheet","",NA
"Lupinus argenteus","1100",2015,"2 stems","",NA
"Lupinus argenteus","1112",2015,"2 stems","",NA
"Lupinus argenteus","1575",2015,"2 stems","",NA
"Lupinus argenteus","169",2015,"2 stems","",NA
"Lupinus argenteus","208",2015,"1 stem","",NA
"Lupinus argenteus","209",2015,"2 stems","",NA
"Lupinus argenteus","214",2015,"2 stems","",NA
"Lupinus argenteus","269",2015,"2 stems mostly dead","",NA
"Elymus lanceolatus","279",2015,"3 stems","",NA
"Lupinus argenteus","305",2015,"2 stems","",NA
"Lupinus argenteus","318",2015,"2 stems","",NA
"Lupinus argenteus","1612",2015,"2 stems","",NA
"Eremogone congesta","3586",2015,"13 stems; CR 4/24/21 changed the number of individuals from 1 to 13 based on the note of ""13 stems"". As there was no size recorded for the main census,  the pre-census sizes (0.5 x 0.5) were used. More details in 2021 QC.","",NA
"Lupinus argenteus","383",2015,"3 stems","",NA
"Lupinus argenteus","396",2015,"2 stems","",NA
"Chaenactis douglasii","401",2015,"2 stems","",NA
"Senecio crassulus","501",2015,"multistem","",NA
"Lupinus argenteus","520",2015,"2 stems","",NA
"Elymus lanceolatus","558",2015,"2 stems","",NA
"Lupinus argenteus","620",2015,"died back 3 stems","",NA
"Lupinus argenteus","651",2015,"2 stems died back","",NA
