"Year","Plot","Tag","Taxon","X..cm.","Y..cm.","Tag.offset.x..cm.","Tag.offset.y..cm.","Is.seedling","Number.of.individuals.represented.by.tag","Notes","Tag.removed.in.year"
2018,5,"1553","Lupinus argenteus",70,83,-10,-10,0,1,"dead",2018
2018,5,"1554","Chaenactis douglasii",112,37,-10,-10,0,1,"dead",2018
2018,5,"1555","Chaenactis douglasii",170,130,-10,-10,0,1,"dead",2018
2018,5,"1556","Chaenactis douglasii",179,125,10,10,0,1,"dead",2018
2018,5,"1750","Lupinus argenteus",35,28,-10,-10,0,1,"dead",2018
2018,5,"1752","Lupinus argenteus",85,51,-10,-10,0,1,"dead",2018
2018,5,"1753","Lupinus argenteus",130,85,-10,-10,0,1,"dead",2018
2018,5,"20","Lupinus argenteus",25,28,-10,-10,0,1,"dead",2018
2018,5,"21","Lupinus argenteus",33,40,-10,0,0,1,"dead, tag missing",2017
2018,5,"22","Lupinus argenteus",48,60,-10,-10,0,1,"dead",2018
2018,5,"23","Lupinus argenteus",27,54,-10,0,0,1,"dead, tag missing",2017
2018,5,"24","Lupinus argenteus",25,65,-10,-10,0,1,"dead, tag missing",2017
2018,5,"27","Ivesia gordonii",200,20,-10,-10,0,1,"dead",2018
2018,5,"29","Ivesia gordonii",5,123,-10,-10,0,1,"dead, tag missing",2017
2018,5,"32","Lupinus argenteus",105,155,-10,-10,0,1,"dead, tag missing",2017
2018,5,"33","Lupinus argenteus",98,155,-10,-10,0,1,"dead, tag missing",2017
2018,5,"39","Eriogonum umbellatum",190,105,-10,-10,0,1,"dead, tag missing",2018
2018,5,"40","Heterotheca villosa",190,120,0,10,0,1,"dead, tag missing",2017
2018,6,"1082","Ivesia gordonii",178,8,-10,-10,0,1,"dead, tag missing",2017
2018,6,"1083","Ivesia gordonii",170,12,-10,-10,0,1,"dead",2018
2018,6,"1084","Ivesia gordonii",170,14,-10,-10,0,1,"dead",2018
2018,6,"1085","Ivesia gordonii",170,18,-10,-2,0,1,"dead",2018
2018,6,"1087","Ivesia gordonii",182,8,-10,-10,0,1,"dead",2018
2018,6,"1088","Ivesia gordonii",184,3.5,0,-10,0,1,"dead, tag missing",2017
2018,6,"1741","Ivesia gordonii",130,50,-10,-10,0,1,"dead, tag missing",2017
2018,6,"43","Ivesia gordonii",195,25,-10,-10,0,1,"dead",2018
2018,6,"47","Ivesia gordonii",70,90,-10,-10,0,1,"dead",2018
2018,6,"48","Ivesia gordonii",70,105,-10,-10,0,1,"dead",2018
2018,8,"1092","Senecio crassulus",100,138,-10,-10,0,1,"dead, tag missing",2017
2018,8,"1559","Lupinus argenteus",44,155,-10,-10,0,1,"dead, tag missing",2017
2018,8,"1560","Lupinus argenteus",181,177,-10,-10,0,1,"dead, tag missing",2017
2018,8,"1561","Lupinus argenteus",194,130,-10,-10,0,1,"dead, tag missing",2017
2018,8,"1758","Lupinus argenteus",164,172,-10,-10,0,1,"dead",2018
2018,8,"1759","Senecio crassulus",156,172,-10,-10,0,1,"dead",2018
2018,8,"1763","Lupinus argenteus",185,147,-10,-10,0,1,"dead",2018
2018,8,"54","Lupinus argenteus",30,110,-10,-10,0,1,"dead, tag missing",2017
2018,8,"56","Lupinus argenteus",35,175,-10,-10,0,1,"dead, tag missing",2017
2018,8,"57","Lupinus argenteus",40,195,-10,-10,0,1,"dead, tag missing",2017
2018,8,"58","Lupinus argenteus",60,180,-10,-10,0,1,"dead, tag missing",2017
2018,8,"59","Lupinus argenteus",75,190,-10,-10,0,1,"dead",2018
2018,8,"60","Lupinus argenteus",80,190,-10,-10,0,1,"dead, tag missing",2017
2018,8,"61","Lupinus argenteus",100,195,10,0,0,1,"dead, tag missing",2017
2018,8,"62","Lupinus argenteus",75,160,-10,-10,0,1,"dead, tag missing",2017
2018,8,"63","Lupinus argenteus",90,170,-10,0,0,1,"dead, tag missing",2017
2018,8,"64","Lupinus argenteus",95,170,-10,-10,0,1,"dead",2018
2018,8,"65","Lupinus argenteus",105,170,-10,-10,0,1,"dead, tag missing",2017
2018,8,"68","Lupinus argenteus",160,180,-10,-10,0,1,"dead, tag missing",2017
2018,8,"69","Lupinus argenteus",180,175,0,10,0,1,"dead, tag missing",2017
2018,8,"70","Lupinus argenteus",170,170,-10,-10,0,1,"dead",2018
2018,8,"71","Lupinus argenteus",160,175,0,10,0,1,"dead, tag missing",2017
2018,8,"72","Lupinus argenteus",165,160,-10,-10,0,1,"dead, tag missing",2017
2018,8,"74","Lupinus argenteus",175,150,10,0,0,1,"dead, tag missing",2017
2018,8,"80","Lupinus argenteus",105,90,-10,-10,0,1,"dead, tag missing",2017
2018,8,"82","Lupinus argenteus",130,50,-10,-10,0,1,"dead, tag missing",2017
2018,9,"84","Lupinus argenteus",65,160,-10,-10,0,1,"dead, tag missing",2017
2018,9,"85","Ivesia gordonii",135,175,-10,-10,0,1,"dead, tag missing",2017
2018,9,"89","Lupinus argenteus",115,25,-10,-10,0,1,"dead, tag missing",2017
2018,10,"100","Lupinus argenteus",70,60,-10,-10,0,1,"dead",2018
2018,10,"101","Lupinus argenteus",70,45,-10,-10,0,1,"dead",2018
2018,10,"102","Lupinus argenteus",60,40,-10,-10,0,1,"dead, tag missing",2017
2018,10,"103","Lupinus argenteus",80,60,-10,-10,0,1,"dead",2018
2018,10,"104","Lupinus argenteus",95,50,-10,-10,0,1,"dead",2018
2018,10,"105","Lupinus argenteus",80,45,-10,-10,0,1,"dead, tag missing",2017
2018,10,"107","Lupinus argenteus",80,35,-10,-10,0,1,"dead",2018
2018,10,"109","Lupinus argenteus",80,60,-10,-10,0,1,"dead",2018
2018,10,"1095","Lupinus argenteus",8,0,-10,-10,0,1,"dead",2018
2018,10,"1096","Lupinus argenteus",13,13,-10,-10,0,1,"dead",2018
2018,10,"1097","Lupinus argenteus",25,23,-10,-10,0,1,"dead, tag missing",2017
2018,10,"1098","Lupinus argenteus",22,33,-10,-10,0,1,"dead, tag missing",2017
2018,10,"1099","Lupinus argenteus",16,42,-10,-10,0,1,"dead",2018
2018,10,"110","Lupinus argenteus",100,10,-10,-10,0,1,"dead",2018
2018,10,"1100","Lupinus argenteus",33,66,-10,-10,0,1,"dead",2018
2018,10,"1101","Lupinus argenteus",16,66,-10,-10,0,1,"dead, tag missing",2017
2018,10,"1102","Chaenactis douglasii",66,52,-10,-10,0,1,"dead",2018
2018,10,"1103","Lupinus argenteus",157,15,-10,-10,0,1,"dead",2018
2018,10,"1104","Lupinus argenteus",188,43,-10,-10,0,1,"dead, tag missing",2017
2018,10,"1105","Lupinus argenteus",150,81,-10,-10,0,1,"dead",2018
2018,10,"1107","Lupinus argenteus",140,122,-10,-10,0,1,"dead",2018
2018,10,"1109","Lupinus argenteus",42,88,-10,-10,0,1,"dead, tag missing",2017
2018,10,"1110","Lupinus argenteus",22,132,-10,-10,0,1,"dead, tag missing",2017
2018,10,"1111","Lupinus argenteus",5,138,-10,-10,0,1,"dead",2018
2018,10,"1112","Lupinus argenteus",14,146,-10,-10,0,1,"dead",2018
2018,10,"1113","Lupinus argenteus",48,170,-10,-10,0,1,"dead",2018
2018,10,"1114","Lupinus argenteus",105,133,-10,-10,0,1,"dead",2018
2018,10,"1768","Lupinus argenteus",50,35,-10,-10,0,1,"dead",2018
2018,10,"1769","Lupinus argenteus",43,25,-10,-10,0,1,"dead",2018
2018,10,"1770","Lupinus argenteus",50,1,-10,-10,0,1,"dead",2018
2018,10,"1771","Heterotheca villosa",27,72,-10,-10,0,1,"dead",2018
2018,10,"1772","Lupinus argenteus",28,113,-10,-10,0,1,"dead",2018
2018,10,"1775","Lupinus argenteus",123,123,-5,-5,0,1,"dead",2018
2018,10,"1776","Lupinus argenteus",63,88,-10,0,0,1,"dead",2018
2018,10,"1778","Lupinus argenteus",68,97,-10,0,0,1,"dead",2018
2018,10,"1780","Lupinus argenteus",75,72,-10,-10,0,1,"dead",2018
2018,10,"1781","Lupinus argenteus",82,62,-10,0,0,1,"dead",2018
2018,10,"90","Lupinus argenteus",40,30,-10,-10,0,1,"dead",2018
2018,10,"92","Lupinus argenteus",28,69,-10,-10,0,1,"dead",2018
2018,10,"93","Lupinus argenteus",10,100,-10,-10,0,1,"dead",2018
2018,10,"94","Lupinus argenteus",20,115,-10,-10,0,1,"dead",2018
2018,10,"95","Lupinus argenteus",30,120,-10,-10,0,1,"dead, tag missing",2017
2018,11,"119","Lupinus argenteus",90,15,-10,-10,0,1,"dead",2018
2018,11,"120","Lupinus argenteus",95,10,-10,-10,0,1,"dead, tag missing",2017
2018,11,"1563","Eriogonum umbellatum",65,15,-10,-10,0,1,"dead, tag missing",2017
2018,11,"1564","Lupinus argenteus",69,15,-10,-10,0,1,"dead",2018
2018,11,"1565","Senecio crassulus",75,24,-10,-10,0,1,"dead",2018
2018,11,"1786","Ivesia gordonii",26,15,-10,-10,0,1,"dead, tag missing",2018
2018,11,"1789","Lupinus argenteus",57,61,-10,-10,0,1,"dead",2018
2018,12,"125","Phacelia hastata",150,100,-5,10,0,1,"dead, tag missing",2017
2018,13,"141","Chaenactis douglasii",150,60,-10,-10,0,1,"dead",2018
2018,13,"1567","Chaenactis douglasii",148,60,10,10,0,1,"dead, tag missing",2017
2018,14,"1123","Lupinus argenteus",1,13,-10,-10,0,1,"tag should be pulled, plant died in 2016",2018
2018,14,"146","Lupinus argenteus",65,10,-10,-10,0,1,"dead",2018
2018,14,"147","Lupinus argenteus",80,10,-10,-10,0,1,"dead",2018
2018,15,"1127","Lupinus argenteus",82,6,-10,-10,0,1,"dead",2018
2018,15,"1128","Lupinus argenteus",110,19,-10,-10,0,1,"dead",2018
2018,15,"1130","Lupinus argenteus",100,81,-10,-10,0,1,"dead, tag missing",2017
2018,15,"1131","Lupinus argenteus",120,84,-10,-10,0,1,"dead",2018
2018,15,"1132","Lupinus argenteus",120,79,-10,-10,0,1,"dead, tag missing",2017
2018,15,"1133","Lupinus argenteus",85,80,-10,-10,0,1,"dead, tag missing",2017
2018,15,"1134","Lupinus argenteus",107,105,-10,-10,0,1,"dead",2018
2018,15,"1136","Lupinus argenteus",85,90,-10,-10,0,1,"dead",2018
2018,15,"1137","Lupinus argenteus",86,98,-10,-10,0,1,"dead, tag missing",2017
2018,15,"1138","Lupinus argenteus",42,89,-10,-10,0,1,"dead",2018
2018,15,"1139","Lupinus argenteus",180,9,-10,-10,0,1,"dead",2018
2018,15,"1141","Lupinus argenteus",177,105,-10,-10,0,1,"dead, tag missing",2017
2018,15,"1142","Lupinus argenteus",175,113,-10,-10,0,1,"dead",2018
2018,15,"1143","Lupinus argenteus",200,190,-10,-10,0,1,"dead",2018
2018,15,"1145","Lupinus argenteus",80,184,0,10,0,1,"dead, tag missing",2017
2018,15,"1146","Lupinus argenteus",60,160,-10,-10,0,1,"dead",2018
2018,15,"1569","Lupinus argenteus",27,2,-10,-10,0,1,"dead",2018
2018,15,"1570","Lupinus argenteus",26,116,-10,-10,0,1,"dead, tag missing",2017
2018,15,"1572","Senecio crassulus",168,103,-10,-10,0,1,"dead, tag missing",2017
2018,15,"1573","Lupinus argenteus",178,106,0,-10,0,1,"dead, tag missing",2017
2018,15,"1574","Lupinus argenteus",176,73,-10,-10,0,1,"dead",2018
2018,15,"1575","Lupinus argenteus",145,68,-10,-10,0,1,"dead",2018
2018,15,"1576","Lupinus argenteus",160,76,-10,-10,0,1,"dead, tag missing",2017
2018,15,"166","Lupinus argenteus",70,50,-10,-10,0,1,"dead, tag missing",2017
2018,15,"168","Eriogonum umbellatum",85,90,-10,-10,0,1,"dead, tag missing",2017
2018,15,"171","Lupinus argenteus",65,120,-10,-10,0,1,"dead, tag missing",2017
2018,15,"174","Lupinus argenteus",55,180,-10,-10,0,1,"dead",2018
2018,15,"1796","Lupinus argenteus",195,190,-10,-10,0,1,"dead",2018
2018,15,"1798","Lupinus argenteus",175,10,10,-10,0,1,"dead. New position.",2018
2018,15,"180","Lupinus argenteus",85,175,0,-10,0,1,"dead, tag missing",2017
2018,15,"1803","Lupinus argenteus",113,179,-10,-10,0,1,"dead. New position.",2018
2018,15,"1804","Lupinus argenteus",175,179,-10,-10,0,1,"dead",2018
2018,15,"1805","Lupinus argenteus",117,102,-10,-10,0,1,"dead",2018
2018,15,"181","Lupinus argenteus",100,180,0,-10,0,1,"dead, tag missing",2017
2018,15,"182","Lupinus argenteus",105,165,0,-10,0,1,"dead, tag missing",2017
2018,15,"183","Lupinus argenteus",120,170,-10,-10,0,1,"dead, tag missing",2017
2018,15,"184","Lupinus argenteus",130,180,-10,-10,0,1,"dead, tag missing",2017
2018,15,"185","Lupinus argenteus",175,175,-10,-10,0,1,"dead, tag missing",2017
2018,15,"186","Lupinus argenteus",180,170,-10,-10,0,1,"dead, tag missing",2017
2018,15,"187","Agoseris glauca",180,160,-10,-10,0,1,"dead, tag missing",2017
2018,15,"188","Lupinus argenteus",190,165,-10,-10,0,1,"dead, tag missing",2017
2018,15,"189","Lupinus argenteus",185,170,-10,-10,0,1,"dead",2018
2018,15,"191","Lupinus argenteus",200,115,-10,-10,0,1,"dead, tag missing",2017
2018,15,"192","Lupinus argenteus",185,95,-10,-10,0,1,"dead, tag missing",2017
2018,15,"193","Lupinus argenteus",175,85,-10,-10,0,1,"dead, tag missing",2017
2018,15,"194","Lupinus argenteus",180,105,-10,-10,0,1,"dead, tag missing",2017
2018,15,"195","Lupinus argenteus",165,100,-10,-10,0,1,"dead, tag missing",2017
2018,15,"196","Ivesia gordonii",120,95,0,10,0,1,"dead",2018
2018,15,"199","Lupinus argenteus",130,70,-10,-10,0,1,"dead, tag missing",2017
2018,15,"200","Lupinus argenteus",125,40,-10,-10,0,1,"dead",2018
2018,15,"201","Lupinus argenteus",135,50,-10,-10,0,1,"dead",2018
2018,15,"202","Lupinus argenteus",155,40,-10,-10,0,1,"dead",2018
2018,15,"204","Lupinus argenteus",95,10,-10,-10,0,1,"dead, tag missing",2017
2018,15,"205","Lupinus argenteus",110,10,-10,-10,0,1,"dead, tag missing",2017
2018,15,"206","Lupinus argenteus",145,30,-10,-10,0,1,"dead",2018
2018,15,"207","Lupinus argenteus",155,25,-10,-10,0,1,"dead",2018
2018,15,"210","Lupinus argenteus",185,20,-10,-10,0,1,"dead",2018
2018,15,"211","Lupinus argenteus",200,25,-10,-10,0,1,"dead",2018
2018,15,"212","Lupinus argenteus",195,15,-10,-10,0,1,"dead",2018
2018,15,"213","Lupinus argenteus",155,5,-10,-10,0,1,"dead",2018
2018,15,"214","Lupinus argenteus",170,5,-10,-10,0,1,"dead",2018
2018,16,"1147","Agoseris glauca",37,40,-10,-10,0,1,"dead",2018
2018,16,"1148","Agoseris glauca",37,48,-10,-10,0,1,"dead",2018
2018,16,"1150","Agoseris glauca",32,55,-10,-10,0,1,"dead",2018
2018,16,"1152","Lupinus argenteus",25,86,-10,-10,0,1,"dead, tag missing",2017
2018,16,"1153","Ivesia gordonii",25,81,-10,-10,0,1,"dead, tag missing",2017
2018,16,"1154","Senecio crassulus",34,80,-10,-10,0,1,"dead",2018
2018,16,"1155","Senecio crassulus",28,87,-10,-10,0,1,"dead",2018
2018,16,"1156","Eriogonum umbellatum",35,78,-10,-10,0,1,"dead, tag missing",2017
2018,16,"1157","Senecio crassulus",48,80,-10,-10,0,1,"dead",2018
2018,16,"1158","Lupinus argenteus",160,54,-10,-10,0,1,"dead, tag missing",2017
2018,16,"1159","Chaenactis douglasii",165,65,-10,-10,0,1,"dead, tag missing",2017
2018,16,"1577","Agoseris glauca",57,11,-10,-10,0,1,"dead",2018
2018,16,"1578","Heterotheca villosa",62,3,-10,-10,0,1,"dead, tag missing",2017
2018,16,"1580","Ivesia gordonii",29,55,-10,-10,0,1,"dead",2018
2018,16,"1581","Agoseris glauca",29,51,-10,-10,0,1,"dead",2018
2018,16,"1583","Lupinus argenteus",22,86,-10,-10,0,1,"dead, tag missing",2017
2018,16,"1585","Chaenactis douglasii",20,95,-10,-10,0,1,"dead, tag missing",2017
2018,16,"1586","Lupinus argenteus",140,115,-10,-10,0,1,"dead",2017
2018,16,"1587","Lupinus argenteus",140,123,-10,-10,0,1,"dead",2018
2018,16,"1588","Chaenactis douglasii",138,62,10,0,0,1,"dead, tag missing",2017
2018,16,"1589","Lupinus argenteus",145,57,10,0,0,1,"dead",2018
2018,16,"1590","Lupinus argenteus",150,45,-10,-10,0,1,"dead",2017
2018,16,"1809","Eriogonum umbellatum",32,44,-10,-10,0,1,"dead",2018
2018,16,"1812","Phacelia hastata",56,63,-10,-10,0,1,"dead",2018
2018,16,"1813","Lupinus argenteus",64,36,-10,-10,0,1,"dead, tag missing",2018
2018,16,"1815","Senecio crassulus",42,96,-10,-10,0,1,"dead",2018
2018,16,"1818","Lupinus argenteus",93,70,-10,-10,0,1,"dead",2018
2018,16,"1822","Lupinus argenteus",134,36,-10,-10,0,1,"dead. New position",2018
2018,16,"1824","Lupinus argenteus",194,84,-10,-10,0,1,"dead. New position",2018
2018,16,"215","Lupinus argenteus",10,0,0,10,0,1,"dead, tag missing",2017
2018,16,"217","Lupinus argenteus",58,10,-10,-10,0,1,"dead",2018
2018,16,"218","Lupinus argenteus",50,20,-10,-10,0,1,"dead, tag missing",2017
2018,16,"219","Lupinus argenteus",42,25,-10,-10,0,1,"dead",2018
2018,16,"220","Lupinus argenteus",37,34,-10,-10,0,1,"dead",2018
2018,16,"221","Lupinus argenteus",25,45,0,-10,0,1,"dead",2018
2018,16,"222","Lupinus argenteus",56,40,0,-10,0,1,"dead",2018
2018,16,"223","Lupinus argenteus",45,45,-10,-10,0,1,"dead",2018
2018,16,"224","Lupinus argenteus",37,45,-10,-10,0,1,"dead",2018
2018,16,"225","Lupinus argenteus",35,58,-5,-10,0,1,"dead",2018
2018,16,"226","Lupinus argenteus",44,52,-10,-10,0,1,"dead, tag missing",2018
2018,16,"227","Lupinus argenteus",46,62,-10,-10,0,1,"dead",2018
2018,16,"228","Lupinus argenteus",36,65,-10,-10,0,1,"dead, tag missing",2017
2018,16,"229","Lupinus argenteus",33,65,-10,-10,0,1,"dead, tag missing",2018
2018,16,"232","Lupinus argenteus",38,73,-10,-10,0,1,"dead",2018
2018,16,"233","Lupinus argenteus",40,70,-10,-10,0,1,"dead, tag missing",2017
2018,16,"234","Lupinus argenteus",45,81,-10,-10,0,1,"dead",2018
2018,16,"235","Lupinus argenteus",40,85,-10,-10,0,1,"dead",2018
2018,16,"236","Lupinus argenteus",23,95,-10,-10,0,1,"dead",2018
2018,16,"237","Lupinus argenteus",48,95,-10,-10,0,1,"dead",2018
2018,16,"238","Lupinus argenteus",37,108,-10,-10,0,1,"dead, tag missing",2017
2018,16,"239","Chaenactis douglasii",24,110,-10,-10,0,1,"dead, tag missing",2017
2018,16,"240","Lupinus argenteus",5,105,0,-10,0,1,"dead, tag missing",2018
2018,16,"241","Lupinus argenteus",5,115,-10,-10,0,1,"dead, tag missing",2017
2018,16,"242","Lupinus argenteus",3,120,-10,-10,0,1,"dead, tag missing",2017
2018,16,"243A","Lupinus argenteus",22,120,-10,-10,0,1,"dead",2018
2018,16,"244","Lupinus argenteus",35,135,-10,-10,0,1,"dead, tag missing",2017
2018,16,"245","Lupinus argenteus",74,90,-10,-10,0,1,"dead, tag missing",2018
2018,16,"246","Lupinus argenteus",65,74,-10,-10,0,1,"dead, tag missing",2018
2018,16,"247","Lupinus argenteus",85,60,-10,-10,0,1,"dead",2018
2018,16,"248","Lupinus argenteus",80,45,-10,-10,0,1,"dead",2018
2018,16,"249","Lupinus argenteus",83,35,-10,-10,0,1,"dead, tag missing",2017
2018,16,"250","Lupinus argenteus",95,30,-10,-10,0,1,"dead, tag missing",2017
2018,16,"251","Lupinus argenteus",107,35,-10,-10,0,1,"dead, tag missing",2017
2018,16,"252","Lupinus argenteus",115,55,-10,-10,0,1,"dead, tag missing",2017
2018,16,"253","Lupinus argenteus",122,50,-10,-10,0,1,"dead",2018
2018,16,"254","Lupinus argenteus",135,50,0,10,0,1,"dead",2018
2018,16,"255","Lupinus argenteus",123,65,0,5,0,1,"dead, tag missing",2017
2018,16,"256","Lupinus argenteus",131,40,-10,-10,0,1,"dead",2018
2018,16,"257","Lupinus argenteus",135,50,10,10,0,1,"dead",2018
2018,16,"258","Lupinus argenteus",133,36,-10,-10,0,1,"dead",2018
2018,16,"259","Lupinus argenteus",148,40,10,10,0,1,"dead, tag missing",2017
2018,16,"260","Lupinus argenteus",147,32,-10,-10,0,1,"dead",2018
2018,16,"261","Lupinus argenteus",162,40,0,-5,0,1,"dead, tag missing",2017
2018,16,"262","Lupinus argenteus",195,60,-10,-10,0,1,"dead",2018
2018,16,"263","Lupinus argenteus",175,85,-10,-10,0,1,"dead, tag missing",2017
2018,16,"264","Lupinus argenteus",175,100,-10,-10,0,1,"dead, tag missing",2017
2018,16,"265","Lupinus argenteus",155,85,-10,-10,0,1,"dead, tag missing",2017
2018,16,"266","Lupinus argenteus",155,90,-10,0,0,1,"dead, tag missing",2017
2018,16,"267","Lupinus argenteus",152,100,-5,0,0,1,"dead, tag missing",2017
2018,16,"268","Lupinus argenteus",145,120,-10,-10,0,1,"dead, tag missing",2017
2018,16,"269","Lupinus argenteus",160,115,-10,-10,0,1,"dead",2018
2018,16,"270","Lupinus argenteus",175,115,-10,-10,0,1,"dead, tag missing",2017
2018,16,"271","Lupinus argenteus",155,130,-10,-10,0,1,"dead, tag missing",2017
2018,16,"272","Lupinus argenteus",190,115,-10,-10,0,1,"dead, tag missing",2017
2018,16,"273","Lupinus argenteus",180,130,-10,-10,0,1,"dead, tag missing",2017
2018,16,"274","Lupinus argenteus",185,150,-10,-10,0,1,"dead",2018
2018,16,"276","Lupinus argenteus",155,190,-10,-10,0,1,"dead, tag missing",2017
2018,16,"277","Lupinus argenteus",50,155,-10,-10,0,1,"dead, tag missing",2017
2018,16,"278","Lupinus argenteus",55,200,-10,-10,0,1,"dead, tag missing",2017
2018,16,"281","Lupinus argenteus",137,40,-10,-10,0,1,"dead, tag missing",2017
2018,17,"1163","Lupinus argenteus",37,35,-10,-10,0,1,"dead",2018
2018,17,"1164","Lupinus argenteus",92,77,-10,-10,0,1,"dead, tag missing",2017
2018,17,"1165","Lupinus argenteus",102,75,-10,-10,0,1,"dead, tag missing",2017
2018,17,"1592","Lupinus argenteus",34,175,-10,-10,0,1,"dead, tag missing",2017
2018,17,"1593","Lupinus argenteus",64,65,-10,-10,0,1,"dead",2018
2018,17,"1594","Lupinus argenteus",100,80,-10,0,0,1,"dead, tag missing",2017
2018,17,"1595","Lupinus argenteus",100,90,0,10,0,1,"dead, tag missing",2017
2018,17,"1814","Heterotheca villosa",19,53,-10,-10,0,1,"dead",2018
2018,17,"282","Lupinus argenteus",31,10,-10,-10,0,1,"dead",2018
2018,17,"283","Lupinus argenteus",12,44,-10,-10,0,1,"dead",2018
2018,17,"284","Lupinus argenteus",10,61,-10,-10,0,1,"dead, tag missing",2017
2018,17,"293","Elymus lanceolatus",30,105,-5,0,0,1,"dead",2018
2018,17,"294","Lupinus argenteus",40,123,-10,-10,0,1,"dead, tag missing",2017
2018,17,"295","Lupinus argenteus",28,140,-10,-10,0,1,"dead, tag missing",2017
2018,17,"296","Lupinus argenteus",28,183,-10,-10,0,1,"dead, tag missing",2017
2018,17,"298","Lupinus argenteus",45,110,-10,-10,0,1,"dead, tag missing",2017
2018,17,"299","Lupinus argenteus",70,110,-10,-10,0,1,"dead, tag missing",2017
2018,17,"301","Lupinus argenteus",90,110,-10,-10,0,1,"dead, tag missing",2017
2018,17,"302","Lupinus argenteus",92,140,-10,-10,0,1,"dead, tag missing",2017
2018,17,"303","Lupinus argenteus",95,125,-10,-10,0,1,"dead, tag missing",2017
2018,17,"304","Lupinus argenteus",51,15,-10,-10,0,1,"dead, tag missing",2017
2018,17,"307","Lupinus argenteus",80,40,-10,-10,0,1,"dead",2018
2018,17,"308","Lupinus argenteus",95,40,-10,-10,0,1,"dead, tag missing",2017
2018,17,"310","Lupinus argenteus",85,60,-10,-10,0,1,"dead, tag missing",2017
2018,17,"311","Lupinus argenteus",75,70,-10,-10,0,1,"dead, tag missing",2017
2018,17,"312","Lupinus argenteus",75,73,0,5,0,1,"dead, tag missing",2017
