"Plot","Tag","X..cm.","Y..cm.","Tag.offset.x","Tag.offset.y","Taxon","Length..cm."
8,62,75,160,-10,-10,"Lupinus argenteus",19
8,63,90,170,-10,0,"Lupinus argenteus",17
8,64,95,170,-10,-10,"Lupinus argenteus",28
8,65,105,170,-10,-10,"Lupinus argenteus",32
8,66,105,170,0,10,"Eriogonum umbellatum",4
8,67,170,195,-10,-10,"Phacelia hastata",14
8,68,160,180,-10,-10,"Lupinus argenteus",19
8,69,180,175,0,10,"Lupinus argenteus",12
8,70,170,170,-10,-10,"Lupinus argenteus",22
8,71,160,175,0,10,"Lupinus argenteus",6
8,72,165,160,-10,-10,"Lupinus argenteus",27
8,73,165,150,-10,-10,"Lupinus argenteus",13
8,74,175,150,10,0,"Lupinus argenteus",32
8,75,180,125,-10,-10,"Lupinus argenteus",10
8,76,175,115,-10,-10,"Ivesia gordonii",6
8,77,145,100,-10,-10,"Ivesia gordonii",8
8,78,180,85,-10,-10,"Eriogonum umbellatum",18
8,79,190,90,10,0,"Ivesia gordonii",16
8,80,105,90,-10,-10,"Lupinus argenteus",23
8,81,95,85,-10,-10,"Ivesia gordonii",2
8,82,130,50,-10,-10,"Lupinus argenteus",21
9,83,60,75,-10,-10,"Ivesia gordonii",4
9,84,65,160,-10,-10,"Lupinus argenteus",13
9,85,135,175,-10,-10,"Ivesia gordonii",6
9,86,180,150,-10,-10,"Elymus lanceolatus",11
9,87,190,90,-10,-10,"Ivesia gordonii",10
9,88,185,15,-10,-10,"Heterotheca villosa",1
9,89,115,25,-10,-10,"Lupinus argenteus",13
10,90,40,30,-10,-10,"Lupinus argenteus",20
10,91,45,45,-10,0,"Lupinus argenteus",26
10,92,20,75,-10,-10,"Lupinus argenteus",17
10,93,10,100,-10,-10,"Lupinus argenteus",10
10,94,20,115,-10,-10,"Lupinus argenteus",7
10,95,30,120,-10,-10,"Lupinus argenteus",16
10,96,70,120,-10,-10,"Lupinus argenteus",9
10,97,55,80,-10,-10,"Lupinus argenteus",10
10,98,55,70,-10,-10,"Lupinus argenteus",1
10,99,55,60,-10,-10,"Lupinus argenteus",12
10,100,70,60,-10,-10,"Lupinus argenteus",8
10,101,70,45,-10,-10,"Lupinus argenteus",23
10,102,60,40,-10,-10,"Lupinus argenteus",8
10,103,80,60,-10,-10,"Lupinus argenteus",8
10,104,95,50,-10,-10,"Lupinus argenteus",11
10,105,80,45,-10,-10,"Lupinus argenteus",13
10,106,85,40,10,0,"Lupinus argenteus",19
10,107,80,35,-10,-10,"Lupinus argenteus",16
10,108,105,45,-10,-10,"Elymus lanceolatus",11
10,109,80,60,-10,-10,"Lupinus argenteus",11
10,110,100,10,-10,-10,"Lupinus argenteus",13
10,111,140,65,-10,-10,"Ivesia gordonii",12
10,112,120,80,-10,-10,"Ivesia gordonii",3
10,113,115,95,-10,-10,"Ivesia gordonii",6
10,114,110,110,-10,-10,"Eriogonum umbellatum",2
10,115,105,100,-10,-10,"Ivesia gordonii",16
11,116,70,150,-10,-10,"Ivesia gordonii",3
11,117,80,30,-10,-10,"Lupinus argenteus",37
11,118,85,20,-10,-10,"Ivesia gordonii",3
11,119,90,15,-10,-10,"Lupinus argenteus",14
11,120,95,10,-10,-10,"Lupinus argenteus",10
11,121,100,35,-10,-10,"Eriogonum umbellatum",22
12,122,140,180,-10,-10,"Ivesia gordonii",14
12,123,135,175,-10,-10,"Ivesia gordonii",24
12,124,150,100,-10,-10,"Elymus lanceolatus",16
12,125,150,100,0,10,"Phacelia hastata",3
12,126,155,100,0,-10,"Phacelia hastata",9
13,127,25,45,-10,-10,"Heterotheca villosa",58
13,128,10,45,-10,-10,"Elymus lanceolatus",4
13,129,15,20,-10,-10,"Eriogonum umbellatum",1
13,130,10,45,-10,-10,"Elymus lanceolatus",1
13,131,30,55,-10,-10,"Eriogonum umbellatum",2
13,132,75,120,-10,-10,"Heterotheca villosa",23
13,133,100,125,-10,-10,"Elymus lanceolatus",5
13,134,100,130,-10,0,"Elymus lanceolatus",4
13,135,105,135,10,10,"Elymus lanceolatus",8
13,136,140,130,-10,-10,"Elymus lanceolatus",6
13,137,145,130,-10,-10,"Elymus lanceolatus",16
13,138,NA,NA,-10,-10,"NA NA",NA
13,139,155,60,-10,-10,"Eriogonum umbellatum",41
13,140,145,60,-10,-10,"Elymus lanceolatus",2
13,141,150,60,-10,-10,"Chaenactis douglasii",7
13,142,150,60,0,-10,"Elymus lanceolatus",9
13,143,150,65,0,10,"Elymus lanceolatus",9
13,144,160,65,10,10,"Elymus lanceolatus",5
13,145,95,25,-10,-10,"Heterotheca villosa",28
14,146,65,10,-10,-10,"Lupinus argenteus",10
14,147,80,10,-10,-10,"Lupinus argenteus",5
14,148,85,75,-10,-10,"Heterotheca villosa",60
14,149,85,55,-10,-10,"Eriogonum umbellatum",22
14,150,70,50,-10,-10,"Elymus lanceolatus",6
14,151,80,65,-10,-10,"Elymus lanceolatus",3
14,152,75,70,-10,-10,"Elymus lanceolatus",4
14,153,85,85,-10,-10,"Elymus lanceolatus",17
14,154,80,85,-10,10,"Elymus lanceolatus",10
14,155,85,90,0,10,"Elymus lanceolatus",11
14,156,150,110,-10,-10,"Eriogonum umbellatum",73
14,157,140,115,-10,-10,"Elymus lanceolatus",13
14,158,145,120,-10,-10,"Elymus lanceolatus",8
14,159,150,110,-10,-10,"Elymus lanceolatus",6
14,160,155,110,10,-10,"Elymus lanceolatus",7
14,161,150,125,0,-10,"Elymus lanceolatus",7
14,162,155,125,0,-10,"Elymus lanceolatus",8
14,163,170,130,-10,-10,"Elymus lanceolatus",6
14,164,175,130,-10,-10,"Elymus lanceolatus",9
15,165,70,50,-10,-10,"Ivesia gordonii",13
15,166,70,50,-10,-10,"Lupinus argenteus",1
15,167,55,85,-10,-10,"Eriogonum umbellatum",8
15,168,85,90,-10,-10,"Eriogonum umbellatum",11
15,169,55,105,-10,-10,"Lupinus argenteus",15
15,170,55,115,-10,-10,"Lupinus argenteus",10
15,171,65,120,-10,-10,"Lupinus argenteus",10
15,172,35,130,-10,-10,"Lupinus argenteus",21
15,173,45,195,-10,-10,"Ivesia gordonii",11
15,174,55,180,-10,-10,"Lupinus argenteus",17
15,175,75,185,-10,-10,"Ivesia gordonii",12
15,176,75,175,-10,-10,"Ivesia gordonii",6
15,177,85,170,-10,-10,"Ivesia gordonii",13
15,178,90,165,-10,-10,"Ivesia gordonii",5
15,179,95,165,-10,-10,"Ivesia gordonii",11
15,180,85,175,0,-10,"Lupinus argenteus",25
15,181,100,180,0,-10,"Lupinus argenteus",25
15,182,105,165,0,-10,"Lupinus argenteus",16
15,183,120,170,-10,-10,"Lupinus argenteus",15
15,184,130,180,-10,-10,"Lupinus argenteus",17
15,185,175,175,-10,-10,"Lupinus argenteus",13
15,186,180,170,-10,-10,"Lupinus argenteus",14
15,189,185,170,-10,-10,"Lupinus argenteus",6
15,188,190,165,-10,-10,"Lupinus argenteus",20
15,187,180,160,-10,-10,"Agoseris glauca",10
15,190,195,170,-10,-10,"Ivesia gordonii",6
15,191,200,115,-10,-10,"Lupinus argenteus",14
15,192,185,95,-10,-10,"Lupinus argenteus",13
15,193,175,85,-10,-10,"Lupinus argenteus",8
15,194,180,105,-10,-10,"Lupinus argenteus",7
15,195,165,100,-10,-10,"Lupinus argenteus",22
15,196,120,95,0,10,"Ivesia gordonii",14
15,197,115,90,-10,-10,"Ivesia gordonii",2
15,198,115,80,-10,-10,"Arenaria congesta",4
15,199,130,70,-10,-10,"Lupinus argenteus",16
15,200,125,40,-10,-10,"Lupinus argenteus",19
15,201,135,50,-10,-10,"Lupinus argenteus",35
15,202,155,40,-10,-10,"Lupinus argenteus",17
15,203,185,55,-10,-10,"Lupinus argenteus",18
15,204,95,10,-10,-10,"Lupinus argenteus",19
15,205,110,10,-10,-10,"Lupinus argenteus",14
15,206,145,30,-10,-10,"Lupinus argenteus",12
15,207,155,25,-10,-10,"Lupinus argenteus",13
15,208,160,25,-10,-10,"Lupinus argenteus",25
15,209,165,20,-10,-10,"Lupinus argenteus",21
15,210,185,20,-10,-10,"Lupinus argenteus",17
15,211,200,25,-10,-10,"Lupinus argenteus",8
15,212,195,15,-10,-10,"Lupinus argenteus",2
15,213,155,5,-10,-10,"Lupinus argenteus",17
15,214,170,5,-10,-10,"Lupinus argenteus",5
16,215,10,0,0,10,"Lupinus argenteus",28
16,216,5,30,0,-10,"Lupinus argenteus",12
16,217,58,10,-10,-10,"Lupinus argenteus",27
16,218,50,20,-10,-10,"Lupinus argenteus",7
16,219,42,25,-10,-10,"Lupinus argenteus",11
16,220,37,34,-10,-10,"Lupinus argenteus",16
16,221,25,45,0,-10,"Lupinus argenteus",18
16,222,56,40,0,-10,"Lupinus argenteus",16
16,223,45,45,-10,-10,"Lupinus argenteus",26
16,224,37,45,-10,-10,"Lupinus argenteus",7
16,225,35,58,-10,-10,"Lupinus argenteus",11
16,226,44,52,-10,-10,"Lupinus argenteus",18
16,227,46,62,-10,-10,"Lupinus argenteus",17
16,228,36,65,-10,-10,"Lupinus argenteus",14
16,229,33,65,-10,-10,"Lupinus argenteus",11
16,230,24,70,-10,-10,"Lupinus argenteus",14
16,231,18,73,-10,-10,"Lupinus argenteus",19
16,232,38,73,-10,-10,"Lupinus argenteus",16
16,233,40,70,-10,-10,"Lupinus argenteus",15
16,234,45,81,-10,-10,"Lupinus argenteus",20
16,235,40,85,-10,-10,"Lupinus argenteus",30
16,236,23,95,-10,-10,"Lupinus argenteus",34
16,237,48,95,-10,-10,"Lupinus argenteus",14
16,238,37,108,-10,-10,"Lupinus argenteus",14
16,239,24,110,-10,-10,"Ivesia gordonii",1
16,240,5,105,0,-10,"Lupinus argenteus",19
16,241,5,115,-10,-10,"Lupinus argenteus",12
16,242,3,120,-10,-10,"Lupinus argenteus",29
16,243,22,120,-10,-10,"Lupinus argenteus",34
16,244,35,135,-10,-10,"Lupinus argenteus",20
16,279,30,100,10,10,"Elymus lanceolatus",7
16,245,74,90,-10,-10,"Lupinus argenteus",15
16,246,65,74,-10,-10,"Lupinus argenteus",29
16,247,85,60,-10,-10,"Lupinus argenteus",25
16,248,80,45,-10,-10,"Lupinus argenteus",22
16,249,83,35,-10,-10,"Lupinus argenteus",16
16,250,95,30,-10,-10,"Lupinus argenteus",20
16,251,107,35,-10,-10,"Lupinus argenteus",7
16,252,115,55,-10,-10,"Lupinus argenteus",30
16,243,127,45,-10,-10,"Lupinus argenteus",22
16,280,127,45,-10,-10,"Phacelia hastata",6
16,281,137,40,-10,-10,"Lupinus argenteus",17
16,254,135,50,0,10,"Lupinus argenteus",18
16,255,123,65,0,5,"Lupinus argenteus",13
16,256,131,40,-10,-10,"Lupinus argenteus",14
16,257,135,50,10,10,"Lupinus argenteus",13
16,258,133,36,-10,-10,"Lupinus argenteus",16
16,259,148,40,10,10,"Lupinus argenteus",17
16,260,147,32,-10,-10,"Lupinus argenteus",26
16,261,162,40,0,-5,"Lupinus argenteus",27
16,262,195,60,-10,-10,"Lupinus argenteus",28
16,263,175,85,-10,-10,"Lupinus argenteus",37
16,264,175,100,-10,-10,"Lupinus argenteus",5
16,265,155,85,-10,-10,"Lupinus argenteus",13
16,266,155,90,-10,-10,"Lupinus argenteus",13
16,267,152,100,-5,0,"Lupinus argenteus",15
16,268,145,120,-10,-10,"Lupinus argenteus",25
16,269,160,115,-10,-10,"Lupinus argenteus",12
16,270,175,115,-10,-10,"Lupinus argenteus",8
16,271,155,130,-10,-10,"Lupinus argenteus",24
16,272,190,115,-10,-10,"Lupinus argenteus",10
16,273,180,130,-10,-10,"Lupinus argenteus",13
16,274,185,150,-10,-10,"Lupinus argenteus",10
16,275,160,180,-10,-10,"Ivesia gordonii",3
16,276,155,190,-10,-10,"Lupinus argenteus",5
16,277,50,155,-10,-10,"Lupinus argenteus",15
16,278,55,200,-10,-10,"Lupinus argenteus",14
17,282,31,10,-10,-10,"Lupinus argenteus",5
17,283,12,44,-10,-10,"Lupinus argenteus",17
17,284,10,1,-10,-10,"Lupinus argenteus",3
17,285,20,80,-10,-10,"Eriogonum umbellatum",67
17,286,2,87,0,-10,"Heterotheca villosa",4
17,287,23,82,-10,-10,"Elymus lanceolatus",12
17,288,20,89,-10,-10,"Elymus lanceolatus",10
17,289,29,85,10,0,"Elymus lanceolatus",9
17,290,25,95,-10,-10,"Elymus lanceolatus",5
17,291,36,100,-10,-10,"Elymus lanceolatus",6
17,292,35,100,5,-5,"Elymus lanceolatus",6
17,293,30,105,5,0,"Elymus lanceolatus",3
17,294,40,123,-10,-10,"Lupinus argenteus",7
17,295,28,140,-10,-10,"Lupinus argenteus",11
17,296,28,183,-10,-10,"Lupinus argenteus",7
17,297,40,183,-10,-10,"Lupinus argenteus",8
17,298,45,110,-10,-10,"Lupinus argenteus",6
17,299,70,110,-10,-10,"Lupinus argenteus",8
17,300,80,110,-10,-10,"Lupinus argenteus",7
17,301,90,110,-10,-10,"Lupinus argenteus",2
17,302,92,140,-10,-10,"Lupinus argenteus",3
17,303,95,125,-10,-10,"Lupinus argenteus",6
17,304,51,15,-10,-10,"Lupinus argenteus",2
17,305,65,1,-5,0,"Lupinus argenteus",4
17,306,65,10,-5,0,"Heterotheca villosa",10
17,307,80,40,-10,-10,"Lupinus argenteus",13
17,308,95,40,-10,-10,"Lupinus argenteus",6
17,309,75,60,-10,-10,"Lupinus argenteus",16
17,310,85,60,-10,-10,"Lupinus argenteus",14
17,311,75,70,-10,-10,"Lupinus argenteus",8
17,312,75,73,0,5,"Lupinus argenteus",6
17,313,85,80,0,5,"Lupinus argenteus",6
17,314,90,70,0,-10,"Lupinus argenteus",18
17,315,105,80,-10,-10,"Lupinus argenteus",8
17,316,130,55,-10,-10,"Lupinus argenteus",10
17,317,NA,NA,-10,-10,"NA NA",NA
17,318,149,50,-10,-10,"Lupinus argenteus",12
17,319,110,15,-10,-10,"Lupinus argenteus",5
17,320,110,17,-10,10,"Lupinus argenteus",0.5
17,321,111,18,10,10,"Lupinus argenteus",1
17,322,117,15,-10,-10,"Lupinus argenteus",7
17,323,199,130,-10,0,"Lupinus argenteus",16
17,324,150,105,-10,-10,"Lupinus argenteus",1
17,325,199,175,-10,-10,"Ivesia gordonii",12
17,326,155,150,-10,-10,"Lupinus argenteus",3
17,327,115,160,-10,-10,"Lupinus argenteus",8
18,328,31,11,-10,-10,"Ivesia gordonii",11
18,329,37,12,-10,-10,"Ivesia gordonii",12
18,330,45,75,-10,-10,"Eriogonum umbellatum",32
18,331,30,90,-10,-10,"Ivesia gordonii",13
18,332,35,85,-10,-10,"Ivesia gordonii",8
18,333,40,80,-10,-10,"Ivesia gordonii",9
18,334,40,75,-10,-10,"Elymus lanceolatus",3
18,335,85,80,-10,-10,"Ivesia gordonii",14
18,336,90,100,-10,-10,"Elymus lanceolatus",8
18,337,180,160,-10,-10,"Ivesia gordonii",8
18,338,102,50,-10,-10,"Ivesia gordonii",14
18,339,145,195,-10,-10,"Heterotheca villosa",22
19,340,55,15,-10,-10,"Ivesia gordonii",11
19,341,77,28,-10,-10,"Ivesia gordonii",10
19,342,105,20,-33,-17,"Eriogonum umbellatum",110
19,343,103,10,-10,-10,"Senecio crassulus",5
19,344,100,35,-20,5,"Heterotheca villosa",58
19,345,95,30,-10,-10,"Lupinus argenteus",13
19,346,110,15,-10,-10,"Elymus lanceolatus",10
19,347,146,15,10,0,"Elymus lanceolatus",7
19,348,125,65,-10,-10,"Ivesia gordonii",16
19,349,185,62,-10,-10,"Heterotheca villosa",39
19,350,187,55,-10,-10,"Eriogonum umbellatum",3
19,351,170,65,-10,-10,"Ivesia gordonii",4
19,352,175,70,-10,-10,"Ivesia gordonii",3
19,353,105,95,-10,-10,"Eriogonum umbellatum",10
19,354,105,100,-10,-10,"Ivesia gordonii",7
19,355,105,105,-5,0,"Ivesia gordonii",8
19,373,105,105,0,10,"Ivesia unknown",2
19,356,110,100,5,0,"Ivesia gordonii",7
19,357,95,105,-5,0,"Ivesia gordonii",1
19,358,165,100,-10,-10,"Ivesia gordonii",5
19,359,145,105,-10,-10,"Eriogonum umbellatum",2
19,360,130,107,-10,-10,"Ivesia gordonii",0.5
19,361,170,107,-10,-10,"Ivesia gordonii",2
19,362,160,110,-10,-10,"Ivesia gordonii",1
19,363,160,120,-10,0,"Heterotheca villosa",10
19,364,165,130,-5,0,"Eriogonum umbellatum",4
19,365,155,140,-5,0,"Ivesia gordonii",10
19,366,165,140,10,0,"Elymus lanceolatus",13
19,367,170,160,-10,-10,"Eriogonum umbellatum",1
19,368,115,185,-10,-10,"Eriogonum umbellatum",34
19,369,100,145,-10,-10,"Heterotheca villosa",5
19,370,85,145,-10,-10,"Eriogonum umbellatum",8
19,371,80,155,-10,-10,"Ivesia gordonii",16
19,372,5,75,0,-10,"Ivesia gordonii",22
20,374,5,12,0,-10,"Ivesia gordonii",10
20,375,8,8,10,0,"Eriogonum umbellatum",4
20,376,8,18,5,-5,"Lupinus argenteus",14
20,377,14,24,5,-5,"Lupinus argenteus",16
20,378,20,27,5,-5,"Lupinus argenteus",8
20,389,16,30,5,0,"Lupinus argenteus",2
20,380,17,35,5,0,"Arenaria congesta",1
20,381,20,45,-10,-10,"Lupinus argenteus",9
20,382,12,37,0,5,"Ivesia gordonii",0.5
20,383,13,30,-10,-10,"Lupinus argenteus",10
20,384,0,30,0,-10,"Lupinus argenteus",20
20,385,5,30,0,-10,"Lupinus argenteus",10
20,441,2,6,0,10,"Eriogonum umbellatum",0.5
20,386,23,39,5,-5,"Arenaria congesta",1
20,387,28,35,5,-5,"Arenaria congesta",1
20,388,10,49,5,-5,"Lupinus argenteus",2
20,391,18,58,10,0,"Lupinus argenteus",11
20,390,25,45,0,5,"Lupinus argenteus",14
20,392,43,70,-10,-10,"Ivesia gordonii",19
20,393,42,55,5,0,"Heterotheca villosa",0.5
20,394,49,55,5,0,"Eriogonum umbellatum",0.5
20,395,49,55,5,0,"Eriogonum umbellatum",0.5
20,396,55,50,-10,-10,"Lupinus argenteus",21
20,397,58,43,-10,-10,"Lupinus argenteus",18
20,398,55,26,-10,-10,"Ivesia gordonii",12
20,399,57,22,-10,-10,"Ivesia gordonii",10
20,400,43,10,-5,-2,"Eriogonum umbellatum",28
20,401,41,1,-10,0,"Chaenactis douglasii",6
20,402,77,20,-10,-10,"Arenaria congesta",18
20,403,74,25,-10,-10,"Elymus lanceolatus",7
20,404,75,25,-10,-10,"Arenaria congesta",11
20,405,102,15,-10,-10,"Arenaria congesta",10
20,406,65,47,-10,-10,"Senecio crassulus",6
20,407,70,55,-10,-10,"Eriogonum umbellatum",3
20,408,97,18,-10,-10,"Elymus lanceolatus",5
20,409,92,21,-10,-10,"Elymus lanceolatus",4
20,410,110,21,-10,-10,"Elymus lanceolatus",12
20,411,125,100,-10,-10,"Heterotheca villosa",23
20,412,140,110,0,1,"Eriogonum umbellatum",43
20,413,125,90,-10,-10,"Elymus lanceolatus",7
20,414,125,87,3,0,"Elymus lanceolatus",3
20,415,125,82,-10,-10,"Elymus lanceolatus",11
20,416,130,90,0,-10,"Elymus lanceolatus",6
20,417,135,95,10,-10,"Elymus lanceolatus",4
20,418,135,100,10,0,"Elymus lanceolatus",3
20,419,190,145,-10,-10,"Lupinus argenteus",19
20,420,180,170,-10,-10,"Lupinus argenteus",18
20,421,160,170,-10,-10,"Lupinus argenteus",2
20,422,180,180,-10,-10,"Lupinus argenteus",15
20,423,175,185,-10,-10,"Ivesia gordonii",15
20,424,155,185,-10,-10,"Lupinus argenteus",4
20,425,150,185,-10,-10,"Lupinus argenteus",4
20,389,175,185,-10,-10,"Elymus lanceolatus",12
20,426,180,198,-10,-10,"Chaenactis douglasii",2
20,427,165,193,-10,-10,"Lupinus argenteus",26
20,428,165,198,-10,-10,"Lupinus argenteus",24
20,429,105,198,-10,-10,"Lupinus argenteus",0.5
20,430,110,195,-10,-10,"Lupinus argenteus",11
20,431,100,175,-10,-10,"Lupinus argenteus",15
20,432,35,190,-10,-10,"Ivesia gordonii",7
20,433,10,175,-10,-10,"Ivesia gordonii",9
20,434,1,160,-10,-10,"Ivesia gordonii",7
20,435,10,152,-10,-10,"Ivesia gordonii",12
20,436,0,80,0,-10,"Eriogonum umbellatum",46
20,437,1,85,0,-10,"Senecio crassulus",7
20,438,5,78,0,-5,"Elymus lanceolatus",6
20,439,5,85,10,10,"Elymus lanceolatus",10
20,440,13,84,10,0,"Elymus lanceolatus",6
20,442,1,80,0,-10,"Achnatherum lettermanii",7
20,443,0,85,0,-15,"Pseudocymopterus montanus",10
21,444,85,90,-10,-10,"Eriogonum umbellatum",32
21,445,65,80,-10,-10,"Heterotheca villosa",1
21,446,140,30,-10,-10,"Eriogonum umbellatum",20
21,447,140,40,5,5,"Elymus lanceolatus",7
21,448,135,30,-5,0,"Elymus lanceolatus",7
21,449,180,160,0,-10,"Ivesia gordonii",2
21,450,175,160,-10,-10,"Eriogonum umbellatum",0.5
21,451,155,110,-10,-10,"NA NA",0.5
21,452,165,160,-10,-10,"Eriogonum umbellatum",0.5
21,453,135,130,-10,-10,"Eriogonum umbellatum",0.5
21,454,130,16,-10,-10,"Eriogonum umbellatum",0.5
21,455,90,130,-10,-10,"Eriogonum umbellatum",0.5
21,456,105,180,-10,-10,"Eriogonum umbellatum",0.5
21,457,160,180,-10,-10,"Eriogonum umbellatum",0.5
21,458,150,200,-10,-10,"Eriogonum umbellatum",43
21,459,140,200,-10,-10,"Eriogonum umbellatum",6
21,460,35,140,-10,-10,"Eriogonum umbellatum",63
21,461,40,160,-10,-10,"Heterotheca villosa",4
21,462,30,140,-10,-10,"Heterotheca villosa",9
21,463,30,155,-10,-10,"Achnatherum lettermanii",8
21,464,40,135,-10,-10,"Achnatherum lettermanii",6
21,465,35,128,-10,-10,"Achnatherum lettermanii",3
22,466,65,0,0,0,"Eriogonum umbellatum",51
22,467,52,34,-10,-10,"Eriogonum umbellatum",6
22,468,125,45,-10,-10,"Eriogonum umbellatum",90
22,469,120,55,-10,-10,"Heterotheca villosa",30
22,470,15,50,-10,-10,"Elymus lanceolatus",16
22,471,25,170,-10,-10,"Ivesia gordonii",2
22,472,10,60,0,-10,"Eriogonum umbellatum",33
22,473,11,60,-5,-5,"Elymus lanceolatus",8
22,474,10,65,-5,-5,"Elymus lanceolatus",3
23,475,15,35,-10,-10,"Eriogonum umbellatum",4
23,476,72,30,-10,-10,"Heterotheca villosa",21
23,477,98,3,-10,-10,"Ivesia gordonii",13
23,478,75,70,-10,-10,"Eriogonum umbellatum",7
23,479,113,30,-10,-10,"Ivesia gordonii",4
23,480,105,70,-10,-10,"Ivesia gordonii",22
23,481,195,40,-10,-10,"Eriogonum umbellatum",50
23,482,193,40,-10,-10,"Elymus lanceolatus",6
23,483,185,50,-10,-10,"Senecio crassulus",10
23,490,185,55,-10,-10,"Elymus lanceolatus",6
23,484,195,55,0,-10,"Elymus lanceolatus",10
23,485,190,80,-10,-10,"Lupinus argenteus",32
23,486,180,110,-10,-10,"Lupinus argenteus",16
23,487,185,112,0,-10,"Lupinus argenteus",6
23,488,190,135,-10,-10,"Heterotheca villosa",23
23,489,115,160,-10,-10,"Ivesia gordonii",5
24,491,0,28,0,-5,"Eriogonum umbellatum",4
24,492,120,0,-10,0,"Eriogonum umbellatum",49
24,493,108,5,0,10,"Elymus lanceolatus",13
24,494,114,10,0,10,"Elymus lanceolatus",8
24,495,118,20,0,10,"Elymus lanceolatus",87
24,496,120,18,5,-5,"Elymus lanceolatus",2
24,497,120,10,5,-5,"Elymus lanceolatus",8
24,498,47,35,-10,-10,"Eriogonum umbellatum",9
24,499,155,35,-10,-10,"Elymus lanceolatus",4
24,500,160,50,10,0,"Elymus lanceolatus",28
24,501,160,50,10,0,"Senecio crassulus",17
24,502,160,50,-10,0,"Eriogonum umbellatum",0.5
24,503,175,85,-10,-10,"Elymus lanceolatus",14
24,504,185,90,-10,0,"Eriogonum umbellatum",30
24,505,195,130,-10,-10,"Lupinus argenteus",10
24,506,195,175,-10,-10,"Elymus lanceolatus",8
24,507,70,175,-10,-10,"Eriogonum umbellatum",63
24,508,70,165,-10,-10,"Senecio crassulus",3
24,509,80,175,-10,-10,"Heterotheca villosa",53
24,510,55,180,-10,-10,"Elymus lanceolatus",4
24,511,80,190,-10,-10,"Elymus lanceolatus",8
24,512,75,195,-10,-10,"Elymus lanceolatus",8
